"PPLOT","CANDBH86","CANDBH87","CANDBH98","CANDBH10"
4,27.45,NA,30.625,28.49
5,25.2142857142857,NA,29.9777777777778,30.05
6,23.8615384615385,NA,24.5545454545455,31.5857142857143
7,18.5133333333333,NA,20.1136363636364,22.1
8,17.46,NA,21.5,30.65
9,22.6722222222222,NA,25.8866666666667,14.4692307692308
10,17.3172413793103,NA,19.9785714285714,19.6
11,17.6862068965517,NA,18.2210526315789,13.0857142857143
12,16.47,NA,17.7818181818182,18.4
13,11.10375,NA,12.3017543859649,14.7555555555556
14,10.4,NA,13.2304347826087,15.9
15,15.5071428571429,NA,18.5769230769231,20.4333333333333
16,NA,22.4,23.8875,21.2333333333333
17,NA,24.09,29.6444444444444,24.1
18,NA,20.725,22.1444444444444,26.8333333333333
19,NA,19.5,21.572,21.84
20,NA,22.9,22.9157894736842,21.2333333333333
21,NA,27.65,24.08,20.8666666666667
22,NA,26.2166666666667,23.1785714285714,26.76
23,NA,28.5,24.3416666666667,23.8
24,NA,27.0666666666667,18.13,16.7333333333333
25,NA,8.55,14.1788461538462,16.1083333333333
26,NA,20.3428571428571,22.1,25.45
27,NA,20.575,21.8352941176471,28.3
