"PLOT","SPLOT","TAG","SPECIES","CLASS","YRTAG","STAT86","STAT87","STAT88","STAT89","STAT98","STAT10","DBH86","HT86","DBH87","HT87","CPOS87","CPOS88","DBH98","HT98","CPOS98","DBH10","HT10","CPOS10","ELEV","ASPCL","CANHT86","CANDBH86","CANHT87","CANDBH87","CANHT98","CANDBH98","CANHT10","CANDBH10","HTPRED86","HTPRED87","HTPRED98","HTPRED10"
4,1,120,"BECO","P",1988,"","","ALIVE","","ALIVE","DEAD",NA,NA,NA,NA,"","",1.2,2.3,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,122,"SOAM","P",1988,"","","ALIVE","","DEAD","DEAD",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,123,"SOAM","P",1988,"","","ALIVE","","ALIVE","NF",NA,NA,NA,NA,"","",0,1.2,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,125,"ACSP","P",1988,"","","ALIVE","","ALIVE","ALIVE",NA,NA,NA,NA,"","",2.8,4.9,"o",4.9,6.6,"i","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,126,"PIRU","P",1988,"","","ALIVE","ALIVE","ALIVE","ALIVE",NA,NA,NA,NA,"","",0.5,1.4,"",2.6,2.62,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,127,"ABBA","P",1988,"","","ALIVE","","ALIVE","ALIVE",NA,NA,NA,NA,"","",1.6,2,"",2.4,2.04,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,128,"ABBA","P",1988,"","","ALIVE","","ALIVE","ALIVE",NA,NA,NA,NA,"","",6.1,4.8,"o",11.8,8.54,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,129,"ACPE","P",1988,"","","ALIVE","","DEAD","DEAD",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,213,"SOAM","P",1988,"","","ALIVE","","ALIVE","NF",NA,NA,NA,NA,"","",0.5,1.5849668767602,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,1,NA
4,1,225,"ACPE","P",1988,"","","ALIVE","","DEAD","DEAD",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,226,"ACPE","P",1988,"","","ALIVE","","ALIVE","DEAD",NA,NA,NA,NA,"","",2.6,4.2,"o",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,227,"SOAM","P",1988,"","","ALIVE","","ALIVE","NF",NA,NA,NA,NA,"","",0.5,1.4,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,228,"ABBA","P",1988,"","","ALIVE","","ALIVE","DEAD",NA,NA,NA,NA,"","",1,1.7,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,229,"ABBA","P",1988,"","","ALIVE","","ALIVE","DEAD",NA,NA,NA,NA,"","",0.5,1.6,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,230,"PIRU","P",1988,"","","ALIVE","ALIVE","ALIVE","ALIVE",NA,NA,NA,NA,"","",3.4,2.9,"o",4.7,3.68,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,231,"ACPE","P",1988,"","","ALIVE","","DEAD","DEAD",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,232,"SOAM","P",1988,"","","ALIVE","","DEAD","DEAD",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,233,"BEAL","P",1988,"","","ALIVE","","ALIVE","NF",NA,NA,NA,NA,"","",2,0.9,"o",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,235,"BEAL","P",1988,"","","ALIVE","","DEAD","DEAD",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,237,"BEAL","P",1988,"","","ALIVE","","DEAD","DEAD",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,238,"PRPE","P",1988,"","","ALIVE","","ALIVE","DEAD",NA,NA,NA,NA,"","",5,6.7,"i",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,239,"PRPE","P",1988,"","","ALIVE","","DEAD","DEAD",NA,NA,NA,NA,"","",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,553,"PIRU","A",1986,"DEAD","","DEAD","","DEAD","DEAD",25,15.5029628127607,NA,NA,"","i",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,1,NA,NA,NA
4,1,701,"PIRU","P",1986,"DEAD","","DEAD","","DEAD","DEAD",13.3,7.24,NA,NA,"","i",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,702,"ABBA","P",1986,"DEAD","","DEAD","","DEAD","DEAD",20.7,9.79,NA,NA,"","c",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,703,"ABBA","P",1986,"ALIVE","","ALIVE","","ALIVE","ALIVE",8.5,5.44,NA,NA,"","o",9.2,5.2,"o",11.2,5.43,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,716,"UNID","P",1986,"DEAD","","DEAD","","DEAD","DEAD",35.8,10.6,NA,NA,"","c",NA,NA,"",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,719,"ABBA","P",1986,"ALIVE","","ALIVE","","ALIVE","ALIVE",18.5,9.33,NA,NA,"","i",24,9.4344528064,"o",29.1,13.41,"c","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,811,"PIRU","A",1986,"ALIVE","","ALIVE","","ALIVE","",25.7,15.8295155469601,NA,NA,"","d",27.1,16.4761718532953,"d",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,1,NA,1,NA
4,1,839,"ABBA","P",1986,"ALIVE","","ALIVE","","ALIVE","ALIVE",9.9,5.3,NA,NA,"","o",14.4,6.1,"o",18.3,9.93,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,840,"ABBA","P",1986,"ALIVE","","ALIVE","","ALIVE","ALIVE",17,9.5,NA,NA,"","i",22.5,11.767309811,"i",28,7.42,"c","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,841,"BECO","P",1986,"ALIVE","","ALIVE","","ALIVE","DEAD",45,17.1,NA,NA,"","d",46.8,15.530324057,"d",NA,NA,"","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,9043,"ABBA","P",2010,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",NA,NA,"",0,1.2,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,9044,"PIRU","P",2010,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",NA,NA,"",0.81,1.63,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,9045,"ABBA","P",2010,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",NA,NA,"",0,1.2,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,9046,"PIRU","P",2010,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",NA,NA,"",0,1.27,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
4,1,9047,"ACSP","P",2010,"","","","","ALIVE","ALIVE",NA,NA,NA,NA,"","",NA,NA,"",4.6,5.1,"o","L","E",13.7911111111111,27.45,NA,NA,14.1718818025,30.625,11.665,28.49,NA,NA,NA,NA
