"install","plot","tag","spec","pltarea","elev","aspect","slope","x","y","si","x97","y97","pplot","time","dbh","priordbh","dbhgrowth","ba","priorba","bagrowth","ht","priorht","htgrowth","cpos","stat","id","numnebs","bacl","bagrcl","rgrplot","rgr","rgrwhole"
1,10,114,"FD",0.05,180,0,4,-7.289991755,-8.900000072,29,5.53,4.22,1.1,76,7.5,7.3,0.0666666666666667,0.004417875,0.0041853966,7.74927999999999e-05,NA,NA,NA,"i","ALIVE",6,NA,1,"11",0.155131932514582,0.0914267977631492,0.0914267977631492
1,10,167,"FD",0.05,180,0,4,7.2200013039,3.42000699,29,20.04,16.54,1.1,76,7,6.7,0.0333333333333332,0.00384846,0.0035256606,0.0001075998,NA,NA,NA,"o","ALIVE",33,NA,1,"12",0.241241376656489,0.139753253648774,0.139753253648774
1,10,167,"FD",0.05,180,0,4,7.2200013039,3.42000699,29,20.04,16.54,1.1,79,7.1,7,-0.0333333333333332,0.0039592014,0.00384846,3.69137999999999e-05,NA,NA,NA,"o","ALIVE",33,NA,1,"6",0.0923516994364873,0.0456481026839308,0.0456481026839308
1,10,8,"FD",0.05,180,0,4,0.3800000261,7.3300047549,29,13.2,20.45,1.1,85,5.6,5.1,0,0.0024630144,0.0020428254,0.000140063,NA,7,NA,"o","ALIVE",1,NA,1,"13",1.58728346115353,0.246981394557595,0.246981394557595
1,10,167,"FD",0.05,180,0,4,7.2200013039,3.42000699,29,20.04,16.54,1.1,85,7,7,0,0.00384846,0.00384846,0,NA,NA,NA,"o","ALIVE",33,NA,1,NA,0,0,0
1,16,139,"FD",0.05,180,315,12,-0.890001261,2.8499964609,34,13.9,16.65,1.16,76,6.3,6.2,0.0333333333333335,0.0031172526,0.0030190776,3.27249999999998e-05,NA,NA,NA,"o","ALIVE",60,7,1,"4",0.187141044127181,0.0463632347365839,0.0463632347365839
1,16,139,"FD",0.05,180,315,12,-0.890001261,2.8499964609,34,13.9,16.65,1.16,79,6.4,6.3,0,0.0032169984,0.0031172526,3.32486000000002e-05,NA,NA,NA,"o","ALIVE",60,7,1,"4",0.161902546344819,0.0462680176156896,0.0462680176156896
1,16,139,"FD",0.05,180,315,12,-0.890001261,2.8499964609,34,13.9,16.65,1.16,82,6.4,6.4,0,0.0032169984,0.0032169984,0,NA,NA,NA,"o","ALIVE",60,NA,1,NA,0,0,0
2,11,1,"FD",0.05,430,180,15,0.6815951893,-1.662066044,17,14.95,12.24,2.11,76,6,5.4,0.0333333333333332,0.00282744,0.0022902264,0.0001790712,NA,NA,NA,"o","ALIVE",140,26,1,"14",0.518442094206893,0.296176429502606,0.296176429502606
2,11,3,"FD",0.05,430,180,15,0.6175858253,-4.182860125,17,15.04,9.72,2.11,76,8.1,7.1,0.166666666666667,0.0051530094,0.0039592014,0.000397936,NA,NA,NA,"i","ALIVE",142,21,1,"16",0.842405729098566,0.484333236851573,0.484333236851573
2,11,5,"FD",0.05,430,180,15,3.5706302894,-4.22321348,17,17.99,9.86,2.11,76,5.9,5.4,0.166666666666667,0.0027339774,0.0022902264,0.000147917,NA,NA,NA,"i","ALIVE",143,22,1,"14",0.428245297115343,0.244648658872767,0.244648658872767
2,11,7,"FD",0.05,430,180,15,2.7314337658,-5.003437291,17,17.2,9.03,2.11,76,6.5,5.9,0.133333333333333,0.003318315,0.0027339774,0.0001947792,NA,NA,NA,"c","ALIVE",145,NA,1,"15",0.509595510057656,0.29172452126698,0.29172452126698
2,11,9,"FD",0.05,430,180,15,2.4286049015,-6.187157984,17,16.97,7.83,2.11,76,6.7,6,0.0999999999999999,0.0035256606,0.00282744,0.0002327402,NA,NA,NA,"i","ALIVE",147,NA,1,"15",0.597317156989737,0.342075995733509,0.342075995733509
2,11,10,"FD",0.05,430,180,15,2.7638805789,-5.947178359,17,17.29,8.09,2.11,76,7.7,6.8,0.166666666666666,0.0046566366,0.0036316896,0.000341649,NA,NA,NA,"i","ALIVE",148,NA,1,"16",0.759862965170109,0.436436310728965,0.436436310728965
2,11,20,"FD",0.05,430,180,15,-0.147712634,-7.522368812,17,14.48,6.34,2.11,76,6.8,6.1,0.166666666666667,0.0036316896,0.0029224734,0.0002364054,NA,NA,NA,"i","ALIVE",155,NA,1,"15",0.595359877307706,0.341086575423078,0.341086575423078
2,11,26,"FD",0.05,430,180,15,-7.611469368,-7.847328276,17,7.05,5.56,2.11,76,7.4,6.5,0.0999999999999999,0.0043008504,0.003318315,0.0003275118,NA,NA,NA,"i","ALIVE",158,NA,1,"16",0.767002846230913,0.440073758943937,0.440073758943937
2,11,32,"FD",0.05,430,180,15,-9.155892185,-8.364008218,17,5.54,4.95,2.11,76,6.3,5.5,0.166666666666667,0.0031172526,0.002375835,0.0002471392,NA,NA,NA,"i","ALIVE",163,NA,1,"15",0.700649273543392,0.400439400281656,0.400439400281656
2,11,34,"FD",0.05,430,180,15,-9.572209325,-5.833873826,17,4.97,7.45,2.11,76,6.6,5.9,0.233333333333333,0.0034212024,0.0027339774,0.000229075,NA,NA,NA,"i","ALIVE",164,NA,1,"15",0.599322676479099,0.343089994769633,0.343089994769633
2,11,35,"FD",0.05,430,180,15,-9.904707377,-4.881799751,17,4.58,8.38,2.11,76,6.1,5.6,0.2,0.0029224734,0.0024630144,0.000153153,NA,NA,NA,"i","ALIVE",165,NA,1,"14",0.425337159850429,0.243193516585523,0.243193516585523
2,11,36,"FD",0.05,430,180,15,-6.364350515,-5.639343999,17,8.16,7.84,2.11,76,10.2,7,0.366666666666667,0.0081713016,0.00384846,0.0014409472,NA,NA,NA,"c","ALIVE",166,NA,1,"16",3.10029330527413,1.78189473171883,1.78189473171883
2,11,40,"FD",0.05,430,180,15,-5.783725047,0.8858205294,17,8.341195,14.38844,2.11,76,7,6.4,0.133333333333333,0.00384846,0.0032169984,0.0002104872,NA,NA,NA,"i","ALIVE",169,NA,1,"15",0.501762122726742,0.28778576178644,0.28778576178644
2,11,49,"FD",0.05,430,180,15,-9.420842276,6.9607495764,17,4.34,20.23,2.11,76,5.8,5.4,0.0999999999999999,0.0026420856,0.0022902264,0.0001172864,NA,NA,NA,"o","ALIVE",175,NA,1,"13",0.339564412579953,0.193986901194689,0.193986901194689
2,11,51,"FD",0.05,430,180,15,-10.69714255,8.8622115453,17,2.95,22.05,2.11,76,5.6,5.4,0.0333333333333335,0.0024630144,0.0022902264,5.75959999999997e-05,NA,NA,NA,"i","ALIVE",177,NA,1,"8",0.166750381177655,0.0952614246938202,0.0952614246938202
2,11,56,"FD",0.05,430,180,15,-3.246263056,-3.145044379,17,11.12,10.52,2.11,76,8,7.2,0.233333333333333,0.00502656,0.0040715136,0.0003183488,NA,NA,NA,"i","ALIVE",182,12,1,"16",0.663228565051676,0.381441440899985,0.381441440899985
2,11,60,"FD",0.05,430,180,15,-1.767559024,2.6855588822,17,12.24,16.43,2.11,76,5.7,5.1,0.233333333333333,0.0025517646,0.0020428254,0.0001696464,NA,NA,NA,"o","ALIVE",186,23,1,"14",0.524341556353945,0.29914755826789,0.29914755826789
2,11,62,"FD",0.05,430,180,15,-2.101949673,4.5895239275,17,11.79,18.31,2.11,76,5.8,5.5,0,0.0026420856,0.002375835,8.87501999999999e-05,NA,NA,NA,"o","ALIVE",188,18,1,"11",0.251610279376281,0.14380186090623,0.14380186090623
2,11,63,"FD",0.05,430,180,15,-2.101949673,4.5895239275,17,11.79,18.31,2.11,76,5.6,5.3,0.1,0.0024630144,0.0022061886,8.56085999999998e-05,NA,NA,NA,"o","ALIVE",189,19,1,"11",0.253208203799364,0.144590129103847,0.144590129103847
2,11,64,"FD",0.05,430,180,15,0.2932077265,3.7817980895,17,14.23,17.65,2.11,76,7.6,6.9,0.166666666666667,0.0045364704,0.0037392894,0.000265727,NA,NA,NA,"i","ALIVE",190,13,1,"16",0.581217158393482,0.333942674075901,0.333942674075901
2,11,65,"FD",0.05,430,180,15,1.8169059678,3.4681941287,17,15.77,17.43,2.11,76,7,6.4,0.0666666666666667,0.00384846,0.0032169984,0.0002104872,NA,NA,NA,"i","ALIVE",191,17,1,"15",0.501762122726742,0.28778576178644,0.28778576178644
2,11,68,"FD",0.05,430,180,15,2.7453552569,7.0181352433,17,16.48,21.03,2.11,76,6.9,6,0.0999999999999999,0.0037392894,0.00282744,0.0003039498,NA,NA,NA,"i","ALIVE",194,NA,1,"16",0.780073362502907,0.446738167656473,0.446738167656473
2,11,73,"FD",0.05,430,180,15,-7.463765569,8.1635175351,17,6.22,21.55,2.11,76,8.1,7.3,0.2,0.0051530094,0.0041853966,0.0003225376,NA,NA,NA,"c","ALIVE",199,NA,1,"16",0.661436441502947,0.380533158257432,0.380533158257432
2,11,74,"FD",0.05,430,180,15,-8.443799727,8.6843179268,17,5.21,22.01,2.11,76,6.1,5.5,0.133333333333333,0.0029224734,0.002375835,0.0001822128,NA,NA,NA,"o","ALIVE",200,NA,1,"14",0.516580396595552,0.29523921885173,0.29523921885173
2,11,76,"FD",0.05,430,180,15,-4.330568663,10.085827904,17,9.23,23.66,2.11,76,6.6,5.9,0.3,0.0034212024,0.0027339774,0.000229075,NA,NA,NA,"i","ALIVE",202,NA,1,"15",0.599322676479099,0.343089994769633,0.343089994769633
2,11,81,"FD",0.05,430,180,15,8.8059265849,8.9717921167,17,22.41,23.35,2.11,76,7.6,6.7,0.233333333333334,0.0045364704,0.0035256606,0.0003369366,NA,NA,NA,"o","ALIVE",205,NA,1,"16",0.762189815933486,0.437621502301634,0.437621502301634
2,11,85,"FD",0.05,430,180,15,10.9890639,7.6460427206,17,24.67,22.16,2.11,76,5.5,5,0.0666666666666667,0.002375835,0.0019635,0.000137445,NA,NA,NA,"o","ALIVE",209,NA,1,"13",0.434546355834993,0.247803069564055,0.247803069564055
2,11,89,"FD",0.05,430,180,15,8.2561276246,5.8795888402,17,22.05,20.23,2.11,76,5.6,5.1,0.0666666666666667,0.0024630144,0.0020428254,0.000140063,NA,NA,NA,"o","ALIVE",212,NA,1,"13",0.432905451619384,0.246981394557595,0.246981394557595
2,11,91,"FD",0.05,430,180,15,7.398677477,3.8180895692,17,21.32,18.12,2.11,76,7.5,6.7,0.2,0.004417875,0.0035256606,0.0002974048,NA,NA,NA,"i","ALIVE",213,NA,1,"16",0.672764281973924,0.386276632956221,0.386276632956221
2,11,94,"FD",0.05,430,180,15,9.21372518,-0.74121979,17,23.41,13.68,2.11,76,6.3,5.6,0.233333333333333,0.0031172526,0.0024630144,0.0002180794,NA,NA,NA,"i","ALIVE",215,NA,1,"15",0.605651032744285,0.346290939001266,0.346290939001266
2,11,95,"FD",0.05,430,180,15,9.2834418233,-1.567016127,17,23.53,12.86,2.11,76,7.1,6.5,0.2,0.0039592014,0.003318315,0.0002136288,NA,NA,NA,"i","ALIVE",216,NA,1,"15",0.500299218644624,0.287050509431057,0.287050509431057
2,11,103,"FD",0.05,430,180,15,8.9289957577,-8.017408982,17,23.57,6.4,2.11,76,5.7,5.3,0.0999999999999999,0.0025517646,0.0022061886,0.000115192,NA,NA,NA,"i","ALIVE",220,NA,1,"12",0.34070828645786,0.194555525399673,0.194555525399673
2,11,108,"FD",0.05,430,180,15,5.4967871288,-0.413696473,17,19.68,13.78,2.11,76,7.9,7,0.2,0.0049016814,0.00384846,0.0003510738,NA,NA,NA,"i","ALIVE",224,NA,1,"16",0.755358525140371,0.434142593611002,0.434142593611002
2,11,110,"FD",0.05,430,180,15,5.2316256368,1.9669314662,17,19.27,16.14,2.11,76,6.2,5.5,0.166666666666667,0.0030190776,0.002375835,0.0002144142,NA,NA,NA,"o","ALIVE",226,NA,1,"15",0.607872621855972,0.347415115286734,0.347415115286734
2,11,111,"FD",0.05,430,180,15,5.5993792413,4.0483630136,17,19.51,18.24,2.11,76,6.1,5.3,0.166666666666667,0.0029224734,0.0022061886,0.0002387616,NA,NA,NA,"i","ALIVE",227,NA,1,"15",0.706195357385383,0.403260543555686,0.403260543555686
2,11,113,"FD",0.05,430,180,15,3.6532603995,3.5161774692,17,17.6,17.59,2.11,76,7.6,6.8,0.166666666666667,0.0045364704,0.0036316896,0.0003015936,NA,NA,NA,"i","ALIVE",229,14,1,"16",0.670775583046717,0.385267915677983,0.385267915677983
2,11,116,"FD",0.05,430,180,15,2.7502674519,-3.221262975,17,17.11,10.81,2.11,76,5.6,5.3,0.0333333333333335,0.0024630144,0.0022061886,8.56085999999998e-05,NA,NA,NA,"o","ALIVE",232,22,1,"11",0.253208203799364,0.144590129103847,0.144590129103847
2,11,1,"FD",0.05,430,180,15,0.6815951893,-1.662066044,17,14.95,12.24,2.11,79,6.1,6,0.2,0.0029224734,0.00282744,3.16777999999999e-05,6,NA,NA,"o","ALIVE",140,25,1,"3",0.117367803168904,0.0465592750098476,0.0465592750098476
2,11,5,"FD",0.05,430,180,15,3.5706302894,-4.22321348,17,17.99,9.86,2.11,79,6.4,5.9,0.0999999999999999,0.0032169984,0.0027339774,0.000161007,NA,NA,NA,"i","ALIVE",143,22,1,"14",0.61186912279486,0.241143253466657,0.241143253466657
2,11,7,"FD",0.05,430,180,15,2.7314337658,-5.003437291,17,17.2,9.03,2.11,79,6.9,6.5,0.0666666666666664,0.0037392894,0.003318315,0.0001403248,8.9,NA,NA,"i","ALIVE",145,NA,1,"13",0.460730859337156,0.188552785606675,0.188552785606675
