"pplot","splot","tag","spec","yrmort","stat86","stat87","stat98","stat10","dbh86","decm86","dbh87","cpos87","decm87","dbh98","decm98","cpos98","dbh10","decm10","cpos10","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","bv86","bv87","bv98","bv10","ht86","ht87","ht98","ht10","ba86","ba87","ba98","ba10","dbhgrowth98","dbhgrowth10","htgrowth98","htgrowth10","priordbh86","priordbh87","priordbh98","priordbh10","priorba86","priorba87","priorba98","priorba10","priorbv86","priorbv87","priorbv98","priorbv10","priorht86","priorht87","priorht98","priorht10","bvgrowth98","bvgrowth10"
1,1,107,"BECO",NA,"ALIVE","","","",10.2,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0081713016,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,NA,NA,NA,0.0081713016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,108,"BECO",NA,"ALIVE","","","",9.4,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",3,3,NA,NA,NA,NA,NA,NA,NA,NA,0.0069397944,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA,NA,0.0069397944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,109,"ABBA",NA,"ALIVE","","","",12.6,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0124690104,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,NA,NA,NA,0.0124690104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,112,"BECO",NA,"ALIVE","","","",15.2,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",2,4,NA,NA,NA,NA,NA,NA,NA,NA,0.0181458816,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,NA,NA,NA,0.0181458816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,114,"BECO",NA,"ALIVE","","","",9.8,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0075429816,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,0.0075429816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,115,"ABBA",NA,"ALIVE","","","",6.4,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,2,NA,NA,NA,NA,NA,NA,NA,NA,0.0032169984,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,0.0032169984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,116,"BECO",NA,"ALIVE","","","",10.7,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",3,3,NA,NA,NA,NA,NA,NA,NA,NA,0.0089920446,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,NA,NA,NA,0.0089920446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,120,"ABBA",NA,"ALIVE","","","",11.8,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",3,2,NA,NA,NA,NA,NA,NA,NA,NA,0.0109359096,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,NA,NA,NA,0.0109359096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,121,"BECO",NA,"ALIVE","","","",8.8,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,2,NA,NA,NA,NA,NA,NA,NA,NA,0.0060821376,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,0.0060821376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,122,"BECO",NA,"ALIVE","","","",8.8,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0060821376,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,0.0060821376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,125,"ABBA",NA,"ALIVE","","","",6.7,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,2,NA,NA,NA,NA,NA,NA,NA,NA,0.0035256606,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,0.0035256606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,129,"BECO",NA,"ALIVE","","","",6.7,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.0035256606,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,0.0035256606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,130,"BECO",NA,"ALIVE","","","",7.8,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",2,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0047783736,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,0.0047783736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,136,"PIRU",NA,"ALIVE","","","",8.5,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",2,4,NA,NA,NA,NA,NA,NA,NA,NA,0.005674515,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,0.005674515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,137,"ABBA",NA,"ALIVE","","","",7.6,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,4,NA,NA,NA,NA,NA,NA,NA,NA,0.0045364704,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,0.0045364704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,138,"BECO",NA,"ALIVE","","","",5.7,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0025517646,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,0.0025517646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,139,"BECO",NA,"ALIVE","","","",11.5,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,4,NA,NA,NA,NA,NA,NA,NA,NA,0.010386915,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA,0.010386915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
