"","X","pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","p98dbh","p98ht","p10dbh","p10ht","time","nsumba.1","nsumba.2","nsumba.3","nsumba5.1","nsumba5.2","nsumba5.3","nsumbabig.1","nsumbabig.2","nsumbabig.3","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","id","mort","nsumba.1cl","nsumba.2cl","nsumba.3cl","nsumba5.1cl","nsumba5.2cl","nsumba5.3cl","nsumbabig.1cl","nsumbabig.2cl","nsumbabig.3cl","dbhgrowthcl","bagrowthcl","nsumba.1cl2","nsumba.2cl2","nsumba.3cl2","nsumba5.1cl2","nsumba5.2cl2","nsumba5.3cl2","nsumbabig.1cl2","nsumbabig.2cl2","nsumbabig.3cl2","dbhgrowthcl2","bagrowthcl2"
"3",24.1986,4,1,703,"ABBA",NA,808,"L","E",145,"S","FSLP",4,1,FALSE,TRUE,FALSE,TRUE,TRUE,1986,0.02269806,NA,NA,0.02269806,NA,NA,0.02269806,NA,NA,8.5,5.44,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.005674515,24,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,NA,NA
"5",26.1986,4,1,719,"ABBA",NA,808,"L","E",145,"S","FSLP",5,3,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,0,0.20809173,0,0,0.20809173,0,0,0.1720214496,18.5,9.33,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.026880315,26,FALSE,1,1,2,1,1,2,1,1,2,NA,NA,"[0,0.0616]","[0,0.116]","(0.137,0.274]","[0,0.0616]","[0,0.115]","(0.133,0.266]","[0,0.0616]","[0,0.116]","(0.137,0.274]",NA,NA
"6",27.1986,4,1,839,"ABBA",NA,808,"L","E",145,"S","FSLP",3,2,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,0.028372575,NA,0,0.028372575,NA,0,0.02269806,NA,9.9,5.3,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0076977054,27,FALSE,1,1,NA,1,1,NA,1,1,NA,NA,NA,"[0,0.0616]","[0,0.116]",NA,"[0,0.0616]","[0,0.115]",NA,"[0,0.0616]","[0,0.116]",NA,NA,NA
"7",28.1986,4,1,840,"ABBA",NA,808,"L","E",145,"S","FSLP",4,1,FALSE,TRUE,TRUE,TRUE,FALSE,1986,0.005674515,NA,NA,0.005674515,NA,NA,0,NA,NA,17,9.5,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.02269806,28,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,NA,NA
"10",106.1986,4,2,838,"ABBA",1988,808,"L","E",145,"S","FSLP",5,6,FALSE,NA,NA,NA,NA,1986,0,0,0.1490524266,0,0,0.1490524266,0,0,0,28.1,17.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0620159694,106,TRUE,1,1,2,1,1,2,1,1,1,NA,NA,"[0,0.0616]","[0,0.116]","(0.137,0.274]","[0,0.0616]","[0,0.115]","(0.133,0.266]","[0,0.0616]","[0,0.116]","[0,0.137]",NA,NA
"11",107.1986,4,2,842,"ABBA",NA,808,"L","E",145,"S","FSLP",1,9,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,NA,NA,0,NA,NA,0,NA,NA,24.8,13.6,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0483052416,107,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,NA,NA
"13",109.1986,4,2,844,"ABBA",2010,808,"L","E",145,"S","FSLP",4,8,FALSE,TRUE,TRUE,NA,NA,1986,0,0.093062046,0.2553390378,0,0.093062046,0.2553390378,0,0.0819399966,0.201211626,24.2,10.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0459961656,109,TRUE,1,1,2,1,1,2,1,1,2,NA,NA,"[0,0.0616]","[0,0.116]","(0.137,0.274]","[0,0.0616]","[0,0.115]","(0.133,0.266]","[0,0.0616]","[0,0.116]","(0.137,0.274]",NA,NA
"14",110.1986,4,2,845,"ABBA",NA,808,"L","E",145,"S","FSLP",5,8,FALSE,TRUE,FALSE,TRUE,NA,1986,0,0.1709415246,0.3248917056,0,0.1709415246,0.3248917056,0,0.1709415246,0.3248917056,11.9,11.1,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0111220494,110,FALSE,1,2,3,1,2,3,1,2,3,NA,NA,"[0,0.0616]","(0.116,0.232]","(0.274,0.412]","[0,0.0616]","(0.115,0.23]","(0.266,0.399]","[0,0.0616]","(0.116,0.232]","(0.274,0.412]",NA,NA
"15",169.1986,4,3,800,"ABBA",NA,808,"L","E",145,"S","FSLP",9,7,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0.0304805886,0.135831003,NA,0.0304805886,0.135831003,NA,0.0304805886,0.135831003,NA,5.7,4.34,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0025517646,169,FALSE,1,2,NA,1,2,NA,1,2,NA,NA,NA,"[0,0.0616]","(0.116,0.232]",NA,"[0,0.0616]","(0.115,0.23]",NA,"[0,0.0616]","(0.116,0.232]",NA,NA,NA
"18",172.1986,4,3,831,"ABBA",1998,808,"L","E",145,"S","FSLP",8,7,FALSE,NA,NA,NA,NA,1986,0,0.2065382088,0.2495435712,0,0.2065382088,0.2495435712,0,0.174464829,0.2174701914,17.4,13.3,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0237787704,172,TRUE,1,2,2,1,2,2,1,2,2,NA,NA,"[0,0.0616]","(0.116,0.232]","(0.137,0.274]","[0,0.0616]","(0.115,0.23]","(0.133,0.266]","[0,0.0616]","(0.116,0.232]","(0.137,0.274]",NA,NA
