"","X","X.1","pplot","splot","tag","spec","class","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","p98dbh","p98ht","p10dbh","p10ht","nmaxht98","nsumht98","nsumhtbig98","time","dbh","nmaxdbh","nmaxba","nsumba","nsumba5","nsumbabig","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","id","mort","dbhcl","htcl","bacl","dbhclq","nmaxdbhclq","nmaxbaclq","nsumbaclq","nsumba5clq","nsumbabigclq","dbhgrowthclq","bagrowthclq"
"1",1,10.1986,4,1,719,"ABBA","P",NA,808,"L","E",145,"S","FSLP",5,3,FALSE,TRUE,TRUE,TRUE,TRUE,6.8,40.2,0,1986,18.5,0,0,0,0,0,9.33,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.026880315,10,FALSE,"(14.7,22]","(7.93,10.6]","(1e-05,0.0338]",NA,NA,NA,NA,NA,NA,NA,NA
"2",2,11.1986,4,1,839,"ABBA","P",NA,808,"L","E",145,"S","FSLP",3,2,FALSE,TRUE,TRUE,TRUE,TRUE,11.767309811,59.867309811,18.567309811,1986,9.9,17,0.02269806,0.028372575,0.028372575,0.02269806,5.3,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0076977054,11,FALSE,"(7.34,14.7]","(5.28,7.93]","(1e-05,0.0338]",NA,"(5,18.3]","(0.00196,0.0263]","(0.0065,0.0415]","(0.00196,0.0384]","(0.00385,0.0483]",NA,NA
"3",3,62.1986,4,2,837,"PIRU","P",NA,808,"L","E",145,"S","FSLP",5,9,FALSE,TRUE,TRUE,TRUE,FALSE,15.552031492,68.229540877,0,1986,32.3,24.2,0.0459961656,0.1001235774,0.1001235774,0,18.5,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0819399966,62,FALSE,"(29.4,36.7]","(18.5,21.1]","(0.0677,0.101]",NA,"(18.3,28.3]","(0.0263,0.0629]","(0.0961,0.149]","(0.0926,0.145]",NA,NA,NA
"4",4,63.1986,4,2,838,"ABBA","P",1988,808,"L","E",145,"S","FSLP",5,6,FALSE,NA,NA,NA,NA,NA,NA,NA,1986,28.1,0,0,0,0,0,17.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0620159694,63,TRUE,"(22,29.4]","(15.9,18.5]","(0.0338,0.0677]",NA,NA,NA,NA,NA,NA,NA,NA
"5",5,64.1986,4,2,843,"BEAL","P",NA,808,"L","E",145,"S","FSLP",2,8,FALSE,TRUE,TRUE,TRUE,FALSE,15.626533648,53.326533648,15.626533648,1986,27,24.8,0.0483052416,0.0483052416,0.0483052416,0,13.2,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.05725566,64,FALSE,"(22,29.4]","(10.6,13.2]","(0.0338,0.0677]",NA,"(18.3,28.3]","(0.0263,0.0629]","(0.0415,0.0961]","(0.0384,0.0926]",NA,NA,NA
"6",6,65.1986,4,2,844,"ABBA","P",2010,808,"L","E",145,"S","FSLP",4,8,FALSE,TRUE,TRUE,NA,NA,20.427735503,78.92303225,20.427735503,1986,24.2,32.3,0.0819399966,0.093062046,0.093062046,0.0819399966,10.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0459961656,65,TRUE,"(22,29.4]","(10.6,13.2]","(0.0338,0.0677]",NA,"(32,48.5]","(0.0804,0.185]","(0.0415,0.0961]","(0.0926,0.145]","(0.0483,0.0913]",NA,NA
"7",7,66.1986,4,2,845,"ABBA","P",NA,808,"L","E",145,"S","FSLP",5,8,FALSE,TRUE,FALSE,TRUE,NA,20.427735503,109.361979633,49.261979633,1986,11.9,32.3,0.0819399966,0.1709415246,0.1709415246,0.1709415246,11.1,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0111220494,66,FALSE,"(7.34,14.7]","(10.6,13.2]","(1e-05,0.0338]",NA,"(32,48.5]","(0.0804,0.185]","(0.149,0.348]","(0.145,0.345]","(0.149,0.348]",NA,NA
"8",8,102.1986,4,3,800,"ABBA","P",NA,808,"L","E",145,"S","FSLP",9,7,FALSE,TRUE,TRUE,TRUE,TRUE,15.6,104.967236234,49.667236234,1986,5.7,29.4,0.0678868344,0.135831003,0.135831003,0.135831003,4.34,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0025517646,102,FALSE,"(1e-05,7.34]","(2.64,5.28]","(1e-05,0.0338]",NA,"(28.3,32]","(0.0629,0.0804]","(0.0961,0.149]","(0.0926,0.145]","(0.0913,0.149]",NA,NA
"9",9,103.1986,4,3,813,"BEAL","P",NA,808,"L","E",145,"S","FSLP",9,8,FALSE,TRUE,FALSE,TRUE,TRUE,15.6,68.7,15.6,1986,29.4,19.7,0.0304805886,0.0568111236,0.0568111236,0,15.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0678868344,103,FALSE,"(29.4,36.7]","(15.9,18.5]","(0.0677,0.101]",NA,"(18.3,28.3]","(0.0263,0.0629]","(0.0415,0.0961]","(0.0384,0.0926]",NA,NA,NA
"10",10,104.1986,4,3,830,"PIRU","P",NA,808,"L","E",145,"S","FSLP",8,6,FALSE,TRUE,TRUE,TRUE,TRUE,17,89.2,32.6,1986,13.2,24.1,0.0456168174,0.1182647466,0.1182647466,0.115712982,8.97,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0136848096,104,FALSE,"(7.34,14.7]","(7.93,10.6]","(1e-05,0.0338]",NA,"(18.3,28.3]","(0.0263,0.0629]","(0.0961,0.149]","(0.0926,0.145]","(0.0913,0.149]",NA,NA
"11",11,105.1986,4,3,831,"ABBA","P",1998,808,"L","E",145,"S","FSLP",8,7,FALSE,NA,NA,NA,NA,NA,NA,NA,1986,17.4,29.4,0.0678868344,0.2065382088,0.2065382088,0.174464829,13.3,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0237787704,105,TRUE,"(14.7,22]","(13.2,15.9]","(1e-05,0.0338]",NA,"(28.3,32]","(0.0629,0.0804]","(0.149,0.348]","(0.145,0.345]","(0.149,0.348]",NA,NA
