"","X","pplot","splot","tag","spec","class","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","p98dbh","p98ht","p10dbh","p10ht","nmaxht98","nsumht98","nsumhtbig98","time","dbh","nmaxdbh","nmaxba","nsumba","nsumba5","nsumbabig","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","id","mort","dbhclq","htclq","baclq","nmaxht98clq","nsumht98clq","nsumhtbig98clq","nmaxdbhclq","nmaxbaclq","nsumbaclq","nsumba5clq","nsumbabigclq","dbhgrowthclq","bagrowthclq","htgrowthclq","dbhcl","htcl","bacl","nmaxht98cl","nsumht98cl","nsumhtbig98cl","nmaxdbhcl","nmaxbacl","nsumbacl","nsumba5cl","nsumbabigcl","dbhgrowthcl","bagrowthcl","htgrowthcl"
"1",10.1986,4,1,719,"ABBA","P",NA,808,"L","E",145,"S","FSLP",5,3,FALSE,TRUE,TRUE,TRUE,TRUE,6.8,40.2,0,1986,18.5,0,0,0,0,0,9.33,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.026880315,10,FALSE,"(15.8,58.7]","(7.6,10.7]","(0.0217,0.271]","[1.5,8.6]","[4.3,58.6]","[0,15.1]","[0,14.4]","[0,0.0163]","[0,0.0686]","[0,0.0577]","[0,0.0398]",NA,NA,NA,"(14.7,22]","(7.93,10.6]","(1e-05,0.0338]","(5.28,7.93]","[0,51.5]","[0,50.2]","[0,7.34]","[0,0.0338]","[0,0.0474]","[0,0.0473]","[0,0.0474]",NA,NA,NA
"2",11.1986,4,1,839,"ABBA","P",NA,808,"L","E",145,"S","FSLP",3,2,FALSE,TRUE,TRUE,TRUE,TRUE,11.767309811,59.867309811,18.567309811,1986,9.9,17,0.02269806,0.028372575,0.028372575,0.02269806,5.3,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0076977054,11,FALSE,"(7.8,10.8]","(4.4,5.8]","(0.00608,0.0108]","(11.3,12.5]","(58.6,77.6]","(15.1,34.4]","(14.4,17.1]","(0.0163,0.023]","[0,0.0686]","[0,0.0577]","[0,0.0398]",NA,NA,NA,"(7.34,14.7]","(5.28,7.93]","(1e-05,0.0338]","(10.6,13.2]","(51.5,103]","[0,50.2]","(14.7,22]","[0,0.0338]","[0,0.0474]","[0,0.0473]","[0,0.0474]",NA,NA,NA
"3",62.1986,4,2,837,"PIRU","P",NA,808,"L","E",145,"S","FSLP",5,9,FALSE,TRUE,TRUE,TRUE,FALSE,15.552031492,68.229540877,0,1986,32.3,24.2,0.0459961656,0.1001235774,0.1001235774,0,18.5,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0819399966,62,FALSE,"(15.8,58.7]","(10.7,21.1]","(0.0217,0.271]","(14.9,16]","(58.6,77.6]","[0,15.1]","(23.6,26.4]","(0.0437,0.0547]","(0.0686,0.102]","(0.088,0.111]","[0,0.0398]",NA,NA,NA,"(29.4,36.7]","(18.5,21.1]","(0.0677,0.101]","(13.2,15.9]","(51.5,103]","[0,50.2]","(22,29.4]","(0.0338,0.0677]","(0.0949,0.142]","(0.0947,0.142]","[0,0.0474]",NA,NA,NA
"4",63.1986,4,2,838,"ABBA","P",1988,808,"L","E",145,"S","FSLP",5,6,FALSE,NA,NA,NA,NA,NA,NA,NA,1986,28.1,0,0,0,0,0,17.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0620159694,63,TRUE,"(15.8,58.7]","(10.7,21.1]","(0.0217,0.271]",NA,NA,NA,"[0,14.4]","[0,0.0163]","[0,0.0686]","[0,0.0577]","[0,0.0398]",NA,NA,NA,"(22,29.4]","(15.9,18.5]","(0.0338,0.0677]",NA,NA,NA,"[0,7.34]","[0,0.0338]","[0,0.0474]","[0,0.0473]","[0,0.0474]",NA,NA,NA
"5",64.1986,4,2,843,"BEAL","P",NA,808,"L","E",145,"S","FSLP",2,8,FALSE,TRUE,TRUE,TRUE,FALSE,15.626533648,53.326533648,15.626533648,1986,27,24.8,0.0483052416,0.0483052416,0.0483052416,0,13.2,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.05725566,64,FALSE,"(15.8,58.7]","(10.7,21.1]","(0.0217,0.271]","(14.9,16]","[4.3,58.6]","(15.1,34.4]","(23.6,26.4]","(0.0437,0.0547]","[0,0.0686]","[0,0.0577]","[0,0.0398]",NA,NA,NA,"(22,29.4]","(10.6,13.2]","(0.0338,0.0677]","(13.2,15.9]","(51.5,103]","[0,50.2]","(22,29.4]","(0.0338,0.0677]","(0.0474,0.0949]","(0.0473,0.0947]","[0,0.0474]",NA,NA,NA
"6",65.1986,4,2,844,"ABBA","P",2010,808,"L","E",145,"S","FSLP",4,8,FALSE,TRUE,TRUE,NA,NA,20.427735503,78.92303225,20.427735503,1986,24.2,32.3,0.0819399966,0.093062046,0.093062046,0.0819399966,10.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0459961656,65,TRUE,"(15.8,58.7]","(10.7,21.1]","(0.0217,0.271]","(16,21.1]","(77.6,93.5]","(15.1,34.4]","(30.3,58.7]","(0.0721,0.271]","(0.0686,0.102]","(0.088,0.111]","(0.0708,0.099]",NA,NA,NA,"(22,29.4]","(10.6,13.2]","(0.0338,0.0677]","(18.5,21.1]","(51.5,103]","[0,50.2]","(29.4,36.7]","(0.0677,0.101]","(0.0474,0.0949]","(0.0473,0.0947]","(0.0474,0.0949]",NA,NA,NA
"7",66.1986,4,2,845,"ABBA","P",NA,808,"L","E",145,"S","FSLP",5,8,FALSE,TRUE,FALSE,TRUE,NA,20.427735503,109.361979633,49.261979633,1986,11.9,32.3,0.0819399966,0.1709415246,0.1709415246,0.1709415246,11.1,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0111220494,66,FALSE,"(10.8,15.8]","(10.7,21.1]","(0.0108,0.0217]","(16,21.1]","(93.5,110]","(34.4,49.8]","(30.3,58.7]","(0.0721,0.271]","(0.157,0.177]","(0.167,0.192]","(0.162,0.19]",NA,NA,NA,"(7.34,14.7]","(10.6,13.2]","(1e-05,0.0338]","(18.5,21.1]","(103,155]","[0,50.2]","(29.4,36.7]","(0.0677,0.101]","(0.142,0.19]","(0.142,0.189]","(0.142,0.19]",NA,NA,NA
"8",102.1986,4,3,800,"ABBA","P",NA,808,"L","E",145,"S","FSLP",9,7,FALSE,TRUE,TRUE,TRUE,TRUE,15.6,104.967236234,49.667236234,1986,5.7,29.4,0.0678868344,0.135831003,0.135831003,0.135831003,4.34,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0025517646,102,FALSE,"(3.93,5.8]","(2.8,4.4]","(0.00212,0.00353]","(14.9,16]","(93.5,110]","(34.4,49.8]","(26.4,30.3]","(0.0547,0.0721]","(0.121,0.141]","(0.13,0.147]","(0.12,0.141]",NA,NA,NA,"(1e-05,7.34]","(2.64,5.28]","(1e-05,0.0338]","(13.2,15.9]","(103,155]","[0,50.2]","(29.4,36.7]","(0.0677,0.101]","(0.0949,0.142]","(0.0947,0.142]","(0.0949,0.142]",NA,NA,NA
"9",103.1986,4,3,813,"BEAL","P",NA,808,"L","E",145,"S","FSLP",9,8,FALSE,TRUE,FALSE,TRUE,TRUE,15.6,68.7,15.6,1986,29.4,19.7,0.0304805886,0.0568111236,0.0568111236,0,15.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0678868344,103,FALSE,"(15.8,58.7]","(10.7,21.1]","(0.0217,0.271]","(14.9,16]","(58.6,77.6]","(15.1,34.4]","(19.2,21.3]","(0.029,0.0356]","[0,0.0686]","[0,0.0577]","[0,0.0398]",NA,NA,NA,"(29.4,36.7]","(15.9,18.5]","(0.0677,0.101]","(13.2,15.9]","(51.5,103]","[0,50.2]","(14.7,22]","[0,0.0338]","(0.0474,0.0949]","(0.0473,0.0947]","[0,0.0474]",NA,NA,NA
"10",104.1986,4,3,830,"PIRU","P",NA,808,"L","E",145,"S","FSLP",8,6,FALSE,TRUE,TRUE,TRUE,TRUE,17,89.2,32.6,1986,13.2,24.1,0.0456168174,0.1182647466,0.1182647466,0.115712982,8.97,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0136848096,104,FALSE,"(10.8,15.8]","(7.6,10.7]","(0.0108,0.0217]","(16,21.1]","(77.6,93.5]","(15.1,34.4]","(23.6,26.4]","(0.0437,0.0547]","(0.102,0.121]","(0.111,0.13]","(0.099,0.12]",NA,NA,NA,"(7.34,14.7]","(7.93,10.6]","(1e-05,0.0338]","(15.9,18.5]","(51.5,103]","[0,50.2]","(22,29.4]","(0.0338,0.0677]","(0.0949,0.142]","(0.0947,0.142]","(0.0949,0.142]",NA,NA,NA
