"","pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","p98dbh","p98ht","p10dbh","p10ht","time","nsumba.1","nsumba.2","nsumba.3","nsumba5.1","nsumba5.2","nsumba5.3","nsumbabig.1","nsumbabig.2","nsumbabig.3","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","id","mort"
"22.1986",4,1,701,"PIRU","1986",808,"L","E",145,"S","FSLP",NA,NA,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,7.24,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0138929406,22,TRUE
"23.1986",4,1,702,"ABBA","1986",808,"L","E",145,"S","FSLP",NA,NA,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7,9.79,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0336536046,23,TRUE
"24.1986",4,1,703,"ABBA",NA,808,"L","E",145,"S","FSLP",4,1,FALSE,TRUE,FALSE,TRUE,TRUE,1986,0.02269806,NA,NA,0.02269806,NA,NA,0.02269806,NA,NA,8.5,5.44,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.005674515,24,FALSE
"25.1986",4,1,716,"UNID","1986",808,"L","E",145,"S","FSLP",4,1,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8,10.6,NA,NA,NA,"DEAD",NA,15.1627603094615,0.1006600056,25,TRUE
"26.1986",4,1,719,"ABBA",NA,808,"L","E",145,"S","FSLP",5,3,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,0,0.20809173,0,0,0.20809173,0,0,0.1720214496,18.5,9.33,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.026880315,26,FALSE
"27.1986",4,1,839,"ABBA",NA,808,"L","E",145,"S","FSLP",3,2,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,0.028372575,NA,0,0.028372575,NA,0,0.02269806,NA,9.9,5.3,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0076977054,27,FALSE
"28.1986",4,1,840,"ABBA",NA,808,"L","E",145,"S","FSLP",4,1,FALSE,TRUE,TRUE,TRUE,FALSE,1986,0.005674515,NA,NA,0.005674515,NA,NA,0,NA,NA,17,9.5,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.02269806,28,FALSE
"29.1986",4,1,841,"BECO","2010",808,"L","E",145,"S","FSLP",1,1,FALSE,TRUE,FALSE,NA,NA,1986,0,NA,NA,0,NA,NA,0,NA,NA,45,17.1,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.1590435,29,TRUE
"105.1986",4,2,837,"PIRU",NA,808,"L","E",145,"S","FSLP",5,9,FALSE,TRUE,TRUE,TRUE,FALSE,1986,0,0.1001235774,NA,0,0.1001235774,NA,0,0,NA,32.3,18.5,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0819399966,105,FALSE
"106.1986",4,2,838,"ABBA","1988",808,"L","E",145,"S","FSLP",5,6,FALSE,NA,NA,NA,NA,1986,0,0,0.1490524266,0,0,0.1490524266,0,0,0,28.1,17.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0620159694,106,TRUE
"107.1986",4,2,842,"ABBA",NA,808,"L","E",145,"S","FSLP",1,9,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,NA,NA,0,NA,NA,0,NA,NA,24.8,13.6,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0483052416,107,FALSE
"108.1986",4,2,843,"BEAL",NA,808,"L","E",145,"S","FSLP",2,8,FALSE,TRUE,TRUE,TRUE,FALSE,1986,0,0.0483052416,NA,0,0.0483052416,NA,0,0,NA,27,13.2,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.05725566,108,FALSE
"109.1986",4,2,844,"ABBA","2010",808,"L","E",145,"S","FSLP",4,8,FALSE,TRUE,TRUE,NA,NA,1986,0,0.093062046,0.2553390378,0,0.093062046,0.2553390378,0,0.0819399966,0.201211626,24.2,10.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0459961656,109,TRUE
"110.1986",4,2,845,"ABBA",NA,808,"L","E",145,"S","FSLP",5,8,FALSE,TRUE,FALSE,TRUE,NA,1986,0,0.1709415246,0.3248917056,0,0.1709415246,0.3248917056,0,0.1709415246,0.3248917056,11.9,11.1,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0111220494,110,FALSE
"169.1986",4,3,800,"ABBA",NA,808,"L","E",145,"S","FSLP",9,7,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0.0304805886,0.135831003,NA,0.0304805886,0.135831003,NA,0.0304805886,0.135831003,NA,5.7,4.34,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0025517646,169,FALSE
"170.1986",4,3,813,"BEAL",NA,808,"L","E",145,"S","FSLP",9,8,FALSE,TRUE,FALSE,TRUE,TRUE,1986,0,0.0568111236,NA,0,0.0568111236,NA,0,0,NA,29.4,15.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0678868344,170,FALSE
"171.1986",4,3,830,"PIRU",NA,808,"L","E",145,"S","FSLP",8,6,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,0.1182647466,0.233373756,0,0.1182647466,0.233373756,0,0.115712982,0.2308219914,13.2,8.97,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0136848096,171,FALSE
"172.1986",4,3,831,"ABBA","1998",808,"L","E",145,"S","FSLP",8,7,FALSE,NA,NA,NA,NA,1986,0,0.2065382088,0.2495435712,0,0.2065382088,0.2495435712,0,0.174464829,0.2174701914,17.4,13.3,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0237787704,172,TRUE
"173.1986",4,3,832,"PIRU","2010",808,"L","E",145,"S","FSLP",7,8,FALSE,TRUE,TRUE,NA,NA,1986,0,0.0826209384,0.3979197684,0,0.0826209384,0.3979197684,0,0.0430053624,0.3309455688,19.7,15.2,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0304805886,173,TRUE
"174.1986",4,3,833,"PIRU",NA,808,"L","E",145,"S","FSLP",7,7,FALSE,FALSE,NA,NA,NA,1986,0,0.113560986,0.4125635514,0,0.113560986,0.4125635514,0,0.0998761764,0.3852049278,14.2,12.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0158368056,174,FALSE
"175.1986",4,3,834,"ABBA","1986",808,"L","E",145,"S","FSLP",NA,NA,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,6.86,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0102070584,175,TRUE
"176.1986",4,3,835,"ABBA",NA,808,"L","E",145,"S","FSLP",7,6,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,0.0533003856,0.2578381806,0,0.0533003856,0.2578381806,0,0,0.1299028038,24.1,14.4,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0456168174,176,FALSE
"177.1986",4,3,836,"ABBA","2010",808,"L","E",145,"S","FSLP",6,9,FALSE,TRUE,TRUE,NA,NA,1986,0,0.1235426346,NA,0,0.1235426346,NA,0,0.0819399966,NA,23.4,13.4,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0430053624,177,TRUE
"178.1986",4,3,989,"BEAL",NA,808,"L","E",145,"S","FSLP",9,7,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0.0025517646,0.107902179,NA,0.0025517646,0.107902179,NA,0,0.0678868344,NA,19.7,14.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0304805886,178,FALSE
"220.1986",4,4,707,"ABBA","1986",808,"L","E",145,"S","FSLP",6,1,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,6.67,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0149571576,220,TRUE
"221.1986",4,4,717,"ABBA","1986",808,"L","E",145,"S","FSLP",NA,NA,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,9.39,NA,NA,NA,"DEAD",NA,15.1627603094615,0.036305115,221,TRUE
"222.1986",4,4,718,"ABBA","1986",808,"L","E",145,"S","FSLP",7,5,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,9.07,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0320474616,222,TRUE
"223.1986",4,4,802,"ABBA",NA,808,"L","E",145,"S","FSLP",8,3,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,0.0065038974,0.230899746,0,0.0065038974,0.230899746,0,0.0065038974,0.230899746,5.3,3.71,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0022061886,223,FALSE
"224.1986",4,4,803,"ABBA",NA,808,"L","E",145,"S","FSLP",10,4,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,NA,NA,0,NA,NA,0,NA,NA,14.6,9.72,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0167415864,224,FALSE
"225.1986",4,4,806,"BECO",NA,808,"L","E",145,"S","FSLP",9,3,FALSE,TRUE,FALSE,TRUE,TRUE,1986,0,0.0545805876,NA,0,0.0545805876,NA,0,0.052374399,NA,9.1,9.39,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0065038974,225,FALSE
"226.1986",4,4,808,"BEAL",NA,808,"L","E",145,"S","FSLP",6,1,FALSE,TRUE,TRUE,FALSE,FALSE,1986,0,NA,NA,0,NA,NA,0,NA,NA,46.8,12.4,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.1720214496,226,FALSE
"227.1986",4,4,829,"ABBA","1986",808,"L","E",145,"S","FSLP",7,3,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,9.57,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0271716984,227,TRUE
"228.1986",4,4,952,"BECO",NA,808,"L","E",145,"S","FSLP",10,3,FALSE,TRUE,FALSE,TRUE,FALSE,1986,0,NA,NA,0,NA,NA,0,NA,NA,21.3,14.3,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0356328126,228,FALSE
"229.1986",4,4,955,"ABBA","1986",808,"L","E",145,"S","FSLP",10,4,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8,14.2,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0339795456,229,TRUE
"230.1986",4,4,985,"ABBA","1986",808,"L","E",145,"S","FSLP",10,1,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11.2,NA,NA,NA,"DEAD",NA,15.1627603094615,0.01539384,230,TRUE
"251.1986",5,1,735,"ABBA","1988",840,"L","E",180,"S","FSLP",5,2,FALSE,NA,NA,NA,NA,1986,0,0.1624120806,NA,0,0.1624120806,NA,0,0.1624120806,NA,12.6,7.1,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0124690104,251,TRUE
"252.1986",5,1,736,"ABBA","1986",840,"L","E",180,"S","FSLP",1,3,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,6.71,NA,NA,NA,"DEAD",NA,15.261481190625,0.007088235,252,TRUE
"253.1986",5,1,737,"ABBA","1986",840,"L","E",180,"S","FSLP",NA,NA,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,8.62,NA,NA,NA,"DEAD",NA,15.261481190625,0.0193593246,253,TRUE
"254.1986",5,1,738,"ABBA",NA,840,"L","E",180,"S","FSLP",2,4,FALSE,TRUE,TRUE,TRUE,FALSE,1986,0,0.1302444528,NA,0,0.1302444528,NA,0,0.1279542264,NA,8.9,7.97,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0062211534,254,FALSE
"255.1986",5,1,739,"ABBA","1986",840,"L","E",180,"S","FSLP",2,3,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,6.15,NA,NA,NA,"DEAD",NA,15.261481190625,0.0102070584,255,TRUE
"256.1986",5,1,740,"ABBA","1986",840,"L","E",180,"S","FSLP",1,3,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,8.21,NA,NA,NA,"DEAD",NA,15.261481190625,0.0107513406,256,TRUE
"257.1986",5,1,741,"BECO",NA,840,"L","E",180,"S","FSLP",3,4,FALSE,TRUE,TRUE,FALSE,TRUE,1986,0.01130976,0.131008647,0.3401198262,0.01130976,0.131008647,0.3401198262,0.01130976,0.1247874936,0.2990127756,10.4,10.1,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0084948864,257,FALSE
"258.1986",5,1,742,"ABBA",NA,840,"L","E",180,"S","FSLP",3,2,FALSE,TRUE,TRUE,TRUE,FALSE,1986,0.0125923182,0.1143801582,NA,0.0125923182,0.1143801582,NA,0,0.10178784,NA,10.7,8.43,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0089920446,258,FALSE
"259.1986",5,1,744,"BECO","1998",840,"L","E",180,"S","FSLP",1,4,FALSE,NA,NA,NA,NA,1986,0,NA,NA,0,NA,NA,0,NA,NA,9,8.73,NA,NA,NA,"ALIVE",NA,15.261481190625,0.00636174,259,TRUE
"260.1986",5,1,745,"ABBA","1986",840,"L","E",180,"S","FSLP",1,4,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,6.79,NA,NA,NA,"DEAD",NA,15.261481190625,0.014313915,260,TRUE
"261.1986",5,1,767,"BECO","1998",840,"L","E",180,"S","FSLP",5,4,FALSE,NA,NA,NA,NA,1986,0.070686,0.1339688196,0.3853321626,0.070686,0.1339688196,0.3853321626,0.070686,0.1339688196,0.382690077,7.8,9.49,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0047783736,261,TRUE
"262.1986",5,1,774,"BECO",NA,840,"L","E",180,"S","FSLP",2,3,FALSE,TRUE,TRUE,TRUE,FALSE,1986,0,0.0539719026,NA,0,0.0539719026,NA,0,0,NA,36,14.6,NA,NA,NA,"ALIVE",NA,15.261481190625,0.10178784,262,FALSE
"263.1986",5,1,775,"ABBA","1986",840,"L","E",180,"S","FSLP",3,1,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,9.95,NA,NA,NA,"DEAD",NA,15.261481190625,0.0147411726,263,TRUE
"264.1986",5,1,776,"ABBA",NA,840,"L","E",180,"S","FSLP",3,2,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0.0156396702,0.1174275102,NA,0.0156396702,0.1174275102,NA,0.0156396702,0.1174275102,NA,8.7,7.35,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0059446926,264,FALSE
