"pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","time","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","priordbh","priorba","priorht","id","mort"
4,1,553,"PIRU","1986",808,"L","E",145,"S","FSLP",NA,NA,FALSE,1986,25,NA,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0490875,NA,NA,NA,22,TRUE
4,1,701,"PIRU","1986",808,"L","E",145,"S","FSLP",NA,NA,FALSE,1986,13.3,7.24,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0138929406,NA,NA,NA,23,TRUE
4,1,702,"ABBA","1986",808,"L","E",145,"S","FSLP",NA,NA,FALSE,1986,20.7,9.79,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0336536046,NA,NA,NA,24,TRUE
4,1,703,"ABBA",NA,808,"L","E",145,"S","FSLP",4,1,FALSE,1986,8.5,5.44,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.005674515,NA,NA,NA,25,FALSE
4,1,716,"UNID","1986",808,"L","E",145,"S","FSLP",4,1,FALSE,1986,35.8,10.6,NA,NA,NA,"DEAD",NA,15.1627603094615,0.1006600056,NA,NA,NA,26,TRUE
4,1,719,"ABBA",NA,808,"L","E",145,"S","FSLP",5,3,FALSE,1986,18.5,9.33,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.026880315,NA,NA,NA,27,FALSE
4,1,811,"PIRU","2011",808,"L","E",145,"S","FSLP",NA,NA,FALSE,1986,25.7,NA,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0518748846,NA,NA,NA,28,TRUE
4,1,839,"ABBA",NA,808,"L","E",145,"S","FSLP",3,2,FALSE,1986,9.9,5.3,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0076977054,NA,NA,NA,29,FALSE
4,1,840,"ABBA",NA,808,"L","E",145,"S","FSLP",4,1,FALSE,1986,17,9.5,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.02269806,NA,NA,NA,30,FALSE
4,1,841,"BECO","2010",808,"L","E",145,"S","FSLP",1,1,FALSE,1986,45,17.1,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.1590435,NA,NA,NA,31,TRUE
