"","aspcl","elevcl","soilcl","slopcl","class","pval","sign","neighbor"
"1","E","H","H","BSLP","1",0.728833921531909,-1,"nmaxht98clq"
"2","E","H","H","BSLP","2",0.305000782046315,1,"nmaxht98clq"
"3","E","H","H","BSLP","6",0.0283148050244132,1,"nmaxht98clq"
"4","E","H","H","BSLP","7",0.000109910391563862,-1,"nmaxht98clq"
"5","E","H","H","BSLP","8",0.634137431057973,-1,"nmaxht98clq"
"6","E","H","H","BSLP",NA,0.157040287525179,1,"nmaxht98clq"
"7","E","H","H","BSLP","1",0.00116810688353884,-1,"nsumht98clq"
"8","E","H","H","BSLP","2",0.523298887408711,1,"nsumht98clq"
"9","E","H","H","BSLP","3",0.726472055912134,-1,"nsumht98clq"
"10","E","H","H","BSLP","4",0.563859360627011,-1,"nsumht98clq"
"11","E","H","H","BSLP","5",0.103242641235805,-1,"nsumht98clq"
"12","E","H","H","BSLP","6",0.324936866317471,-1,"nsumht98clq"
"13","E","H","H","BSLP","7",0.25236011102098,-1,"nsumht98clq"
"14","E","H","H","BSLP","8",0.485074102778151,-1,"nsumht98clq"
"15","E","H","H","BSLP",NA,0.157040287525179,1,"nsumht98clq"
"16","E","H","H","BSLP","1",0.131052568336526,-1,"nsumhtbig98clq"
"17","E","H","H","BSLP","2",0.447234347873787,-1,"nsumhtbig98clq"
"18","E","H","H","BSLP","3",0.00667604517883716,-1,"nsumhtbig98clq"
"19","E","H","H","BSLP","4",0.408981836965646,-1,"nsumhtbig98clq"
"20","E","H","H","BSLP","5",0.314986199525501,1,"nsumhtbig98clq"
"21","E","H","H","BSLP","6",0.172755835339468,-1,"nsumhtbig98clq"
"22","E","H","H","BSLP","7",0.377068499664496,-1,"nsumhtbig98clq"
"23","E","H","H","BSLP","8",0.620446467608473,1,"nsumhtbig98clq"
"24","E","H","H","BSLP",NA,0.157040287525179,1,"nsumhtbig98clq"
"25","E","H","H","BSLP","1",0.175982023953198,-1,"nmaxdbhclq"
"26","E","H","H","BSLP","2",0.115398957938406,-1,"nmaxdbhclq"
"27","E","H","H","BSLP","3",0.2735854578472,1,"nmaxdbhclq"
"28","E","H","H","BSLP","4",0.0511608612912899,1,"nmaxdbhclq"
"29","E","H","H","BSLP","5",0.108455595388384,-1,"nmaxdbhclq"
"30","E","H","H","BSLP","6",0.0468757333458715,-1,"nmaxdbhclq"
"31","E","H","H","BSLP","7",0.58633979792756,-1,"nmaxdbhclq"
"32","E","H","H","BSLP","8",0.430048709189775,-1,"nmaxdbhclq"
"33","E","H","H","BSLP","1",0.175982023953198,-1,"nmaxbaclq"
"34","E","H","H","BSLP","2",0.115398957938406,-1,"nmaxbaclq"
"35","E","H","H","BSLP","3",0.2735854578472,1,"nmaxbaclq"
"36","E","H","H","BSLP","4",0.0511608612912899,1,"nmaxbaclq"
"37","E","H","H","BSLP","5",0.108455595388384,-1,"nmaxbaclq"
"38","E","H","H","BSLP","6",0.0468757333458715,-1,"nmaxbaclq"
"39","E","H","H","BSLP","7",0.58633979792756,-1,"nmaxbaclq"
"40","E","H","H","BSLP","8",0.430048709189775,-1,"nmaxbaclq"
"41","E","H","H","BSLP","1",0.423206114602348,-1,"nsumbaclq"
"42","E","H","H","BSLP","2",0.539478373027129,-1,"nsumbaclq"
"43","E","H","H","BSLP","3",0.919685213250987,-1,"nsumbaclq"
"44","E","H","H","BSLP","4",0.12128484980096,-1,"nsumbaclq"
"45","E","H","H","BSLP","5",0.576313821732477,-1,"nsumbaclq"
"46","E","H","H","BSLP","6",0.0461443609756482,1,"nsumbaclq"
"47","E","H","H","BSLP","7",0.433478436971251,-1,"nsumbaclq"
"48","E","H","H","BSLP","8",0.201181380552495,-1,"nsumbaclq"
"49","E","H","H","BSLP","1",0.837764402916265,1,"nsumba5clq"
"50","E","H","H","BSLP","2",0.100772743910247,-1,"nsumba5clq"
"51","E","H","H","BSLP","3",0.854284917057096,-1,"nsumba5clq"
"52","E","H","H","BSLP","4",0.416049583936123,-1,"nsumba5clq"
"53","E","H","H","BSLP","5",0.68414323573003,-1,"nsumba5clq"
"54","E","H","H","BSLP","6",0.137580793005366,1,"nsumba5clq"
"55","E","H","H","BSLP","7",0.387132258661807,-1,"nsumba5clq"
"56","E","H","H","BSLP","8",0.459097527409465,-1,"nsumba5clq"
"57","E","H","H","BSLP","1",0.287255659679927,1,"nsumbabigclq"
"58","E","H","H","BSLP","2",0.783424380426088,-1,"nsumbabigclq"
"59","E","H","H","BSLP","3",0.949442705400053,1,"nsumbabigclq"
"60","E","H","H","BSLP","4",0.168003881047824,1,"nsumbabigclq"
"61","E","H","H","BSLP","5",0.781982436607209,-1,"nsumbabigclq"
"62","E","H","H","BSLP","6",0.00095503626094172,1,"nsumbabigclq"
"63","E","H","H","BSLP","7",0.000134941401087417,1,"nsumbabigclq"
"64","E","H","H","BSLP","8",0.280918127853712,-1,"nsumbabigclq"
"65","E","H","H","BSLP","1",0.00126248094415119,-1,"nmaxht98cl"
"66","E","H","H","BSLP","2",0.305000782046315,1,"nmaxht98cl"
"67","E","H","H","BSLP","6",0.871254137803477,1,"nmaxht98cl"
"68","E","H","H","BSLP","7",0.597621433978709,-1,"nmaxht98cl"
"69","E","H","H","BSLP",NA,0.157040287525179,1,"nmaxht98cl"
