"model","alpha","beta","C","D","PG","sd","sizeX0","sizeXb","mspec","msr","b","mdep.var","mind.var"
"sldnm",NA,NA,2.47973069201325e-05,1.89538309084557,0.00154800242771524,0.000178568930093813,0.41091052033478,1.99874649039395,"ABBA","1",NA,"bagrowth","priorba"
"sldnm",NA,NA,0.327380881029089,0.635609906563925,0.211762560965734,0.10981949226887,3.92063640169788,3.02113582422648,"ABBA","1",NA,"dbhgrowth","priordbh"
"sldnm",NA,NA,2.47973069201325e-05,1.89538309084557,0.00154800242771524,0.000178568930093813,0.41091052033478,1.99874649039395,"ABBA","3",NA,"bagrowth","priorba"
"sldnm",NA,NA,0.148821098541168,0.519696852087227,0.352887530131554,0.109505176512105,1.49030686564805,3.91901660157364,"ABBA","3",NA,"dbhgrowth","priordbh"
"slenm",0.09108243827048,2.78319847036116,1.02348091853861,0.557516179484635,2.5430250993934,0.002,0.252746554760099,1,"ABBA","3",0.282248246379586,"dbhgrowth","priordbh"
"slnm",0.986761055324504,0.0729314942782479,3.33290301761319,1.40687369880315,0.00336567543675324,0.000174889264609547,3.60434874016056,2.78319847036116,"ABBA","1",NA,"bagrowth","priorba"
"slnm",0.986761055324504,0.0729314942782479,3.33290301761319,1.40687369880315,0.00336567543675324,0.000174889264609547,3.60434874016056,2.78319847036116,"ABBA","3",NA,"bagrowth","priorba"
"slnm",0.805936827049183,0.0855166169900236,0.0131206302207336,0.77598048039994,0.331317799489257,0.113514145588562,3.7084586840764,2.58938402925207,"ABBA","3",NA,"dbhgrowth","priordbh"
"spenm",-0.281446941534155,-1.00821641084361e-09,0.285598464915337,0.344256562611234,0.128313054693427,0.112557321659353,NA,NA,"ABBA","1",0.179709170360146,"dbhgrowth","priordbh"
"spenm",-0.206757690792702,-2.68466663146147e-08,0.211420309975495,0.497637803288749,0.441869735591044,0.109786557048849,NA,NA,"ABBA","3",-0.140843592618516,"dbhgrowth","priordbh"
"spm",NA,NA,NA,NA,0.00290958245980022,0.000194913979714755,NA,NA,"ABBA","1",0.484496169181958,"bagrowth","priorba"
"spm",NA,NA,NA,NA,8.25284060608819e-05,0.000229434894171967,NA,NA,"ABBA","1",0.584246625024457,"bagrowth","priordbh"
"spm",NA,NA,NA,NA,0.0909812663612328,0.114712785992983,NA,NA,"ABBA","1",0.286098958346846,"dbhgrowth","priordbh"
"spm",NA,NA,NA,NA,0.00290958245980022,0.000194913979714755,NA,NA,"ABBA","2",0.484496169181958,"bagrowth","priorba"
"spm",NA,NA,NA,NA,8.25284060608819e-05,0.000229434894171967,NA,NA,"ABBA","2",0.584246625024457,"bagrowth","priordbh"
"spm",NA,NA,NA,NA,0.0853727359189429,0.115152154210519,NA,NA,"ABBA","2",0.30847303128256,"dbhgrowth","priordbh"
"spm",NA,NA,NA,NA,0.00290958245980022,0.000194913979714755,NA,NA,"ABBA","3",0.484496169181958,"bagrowth","priorba"
"spm",NA,NA,NA,NA,8.25284060608819e-05,0.000229434894171967,NA,NA,"ABBA","3",0.584246625024457,"bagrowth","priordbh"
"spm",NA,NA,NA,NA,0.0831425916753673,0.112178124170061,NA,NA,"ABBA","3",0.325899240591119,"dbhgrowth","priordbh"
"spnm",0.847446928575145,-0.0277884274864265,NA,-0.132771053402721,0.00507736764970604,0.000173372623751048,NA,NA,"ABBA","1",0.671928848572075,"bagrowth","priorba"
"spnm",20.9248812584548,-352.532758486661,NA,3.93133709761955,-0.64326787351034,0.205211337792191,NA,NA,"ABBA","1",1.78515331805604,"dbhgrowth","priordbh"
"spnm",0.847446928575145,-0.0277884274864265,NA,-0.132771053402721,0.00507736764970604,0.000173372623751048,NA,NA,"ABBA","3",0.671928848572075,"bagrowth","priorba"
"spnm",0.847446928575145,0.0729314942782479,0.285598464915337,0.594845669738664,0.0328544337609196,0.0540803161132355,1.20406437091538,2.68629124980662,"ABBA","3",0.484496169181958,"dbhgrowth","priordbh"
"start",0.744252998613649,0.285598464915337,0.0853727359189429,1.34718561828172,0.484496169181958,0.148662536733439,0.601810462750482,0.002,"ABBA","1",2.33450287064598,"bagrowth","priorba"
"slenm",11.3008391094057,19.8950677638864,13.0503152179682,13.6326556485881,-30.4806926189055,1.59539095696552,-4.7569205913511,1,"ABBA","2",1.74669903724726,"dbhgrowth","priordbh"
"slenm",1,1,1.1,1,1,1,1,1,"ABBA","1",1,"dbhgrowth","priordbh"
