"install","plot","time","pplot","plotden","pplotden","plotba","pplotba","plotbv","pplotbv"
1,10,73,"1.1",940,NA,26.278902804,NA,480.09321882,NA
1,10,76,"1.1",920,940,29.482219536,26.278902804,581.03479206,480.09321882
1,10,79,"1.1",920,920,32.516235444,29.482219536,674.05418592,581.03479206
1,10,82,"1.1",920,920,35.419058136,32.516235444,771.81947474,674.05418592
1,10,85,"1.1",900,920,38.230790136,35.419058136,874.68482604,771.81947474
1,10,91,"1.1",800,900,42.607965708,38.230790136,1055.18203072,874.68482604
1,10,97,"1.1",620,800,47.171862276,42.607965708,1262.8606084,1055.18203072
1,16,73,"1.16",1080,NA,41.590322928,NA,972.21971524,NA
1,16,76,"1.16",1040,1080,44.893526832,41.590322928,1103.5713295,972.21971524
1,16,79,"1.16",940,1040,47.794228944,44.893526832,1239.81308978,1103.5713295
1,16,82,"1.16",920,940,50.95384602,47.794228944,1344.30165248,1239.81308978
1,16,85,"1.16",880,920,53.858380884,50.95384602,1479.56639168,1344.30165248
1,16,91,"1.16",780,880,57.8062254,53.858380884,1740.09776488,1479.56639168
1,16,97,"1.16",640,780,65.332760724,57.8062254,2070.06497294,1740.09776488
2,6,73,"2.6",1300,NA,20.064409596,NA,241.38677898,NA
2,6,76,"2.6",1280,1300,23.142690648,20.064409596,303.31456924,241.38677898
2,6,79,"2.6",1260,1280,26.795774544,23.142690648,376.9188638,303.31456924
2,6,82,"2.6",1220,1260,30.43959072,26.795774544,461.30447754,376.9188638
2,6,85,"2.6",1200,1220,34.035309,30.43959072,539.96662328,461.30447754
2,6,91,"2.6",1140,1200,39.619298796,34.035309,688.21180786,539.96662328
2,6,97,"2.6",1000,1140,45.704954988,39.619298796,874.2042307,688.21180786
2,11,73,"2.11",2060,NA,14.622765696,NA,121.86778004,NA
2,11,76,"2.11",2060,2060,17.500738332,14.622765696,156.24613116,121.86778004
2,11,79,"2.11",2060,2060,20.242522608,17.500738332,189.78416678,156.24613116
2,11,82,"2.11",2060,2060,23.260594896,20.242522608,232.88485066,189.78416678
2,11,85,"2.11",2060,2060,25.801159692,23.260594896,269.70106124,232.88485066
2,11,91,"2.11",2040,2060,29.931766788,25.801159692,340.38379814,269.70106124
2,11,97,"2.11",1900,2040,34.36282535532,29.931766788,427.09060916,340.38379814
3,1,73,"3.1",900,NA,40.05704934,NA,882.7535632,NA
3,1,76,"3.1",900,900,42.990345552,40.05704934,983.74230848,882.7535632
3,1,79,"3.1",880,900,46.160518404,42.990345552,1097.5578745,983.74230848
3,1,82,"3.1",840,880,48.848722692,46.160518404,1209.00542268,1097.5578745
3,1,85,"3.1",800,840,48.787807068,48.848722692,1215.02126072,1209.00542268
3,1,91,"3.1",680,800,51.768290112,48.787807068,1381.94070228,1215.02126072
3,1,97,"3.1",500,680,57.245732544,51.768290112,1641.26597912,1381.94070228
3,15,73,"3.15",700,NA,34.775328588,NA,792.04475434,NA
3,15,76,"3.15",700,700,37.601354868,34.775328588,892.27277772,792.04475434
3,15,79,"3.15",700,700,40.589220672,37.601354868,1002.5744331,892.27277772
