"pplot","time","plotden","pplotden","plotba","pplotba","plotbv","pplotbv"
1.1,73,900,NA,1.3529159028,NA,24.413401255,NA
1.1,76,760,900,1.4741109768,1.3070053458,29.051739603,23.934270342
1.1,79,780,760,1.6258117722,1.4741109768,33.702709296,29.051739603
1.1,82,780,780,1.7709529068,1.6258117722,38.58830394,33.702709296
1.1,85,780,780,1.9115395068,1.7627816052,43.731643837,38.498863751
1.1,91,680,780,2.1303982854,1.8896166366,52.759101536,43.549238783
1.1,97,580,680,2.3585931138,2.0788171404,63.123707984,52.151393326
1.16,73,1160,NA,2.2089327876,NA,50.233599755,NA
1.16,76,840,1160,2.2446763416,2.0510901642,55.178566475,48.221864127
1.16,79,740,840,2.3897114472,2.200105677,61.976726968,54.644732447
1.16,82,720,740,2.547692301,2.3547446538,67.215082624,61.330775979
1.16,85,680,720,2.6929190442,2.5161223626,73.978319584,66.704049237
1.16,91,580,680,2.89031127,2.5760585928,86.999796444,71.880166747
1.16,97,580,580,3.2666380362,2.89031127,103.490486944,86.999796444
2.11,73,1860,NA,0.7311382848,NA,6.093389002,NA
2.11,76,1920,1860,0.8750369166,0.7311382848,7.812306558,6.093389002
2.11,79,1960,1920,1.0121261304,0.8750369166,9.489208339,7.812306558
2.11,82,2060,1960,1.1630297448,1.0121261304,11.644242533,9.489208339
2.11,85,2060,2060,1.2900579846,1.1630297448,13.482555397,11.644242533
2.11,91,2040,2060,1.4965883394,1.285872588,17.019189907,13.46456189
2.11,97,1920,2040,1.718141267766,1.4649115866,21.34426427,16.81287032
2.6,73,1280,NA,1.0032204798,NA,12.069338949,NA
2.6,76,1260,1280,1.1571345324,0.9971383422,15.165728462,12.026775522
2.6,79,1260,1260,1.3397887272,1.1551710324,18.84594319,15.156933603
2.6,82,1220,1260,1.521979536,1.3338000522,23.065223877,18.813654713
2.6,85,1200,1220,1.70176545,1.5153319104,26.997327405,23.01691858
2.6,91,1140,1200,1.9809649398,1.6823275854,34.404480346,26.81537348
2.6,97,1080,1140,2.2852477494,1.9222319424,43.692172266,33.673508973
3.1,73,900,NA,2.025417009,NA,44.415906603,NA
3.1,76,860,900,2.1495172776,2.002852467,49.187115424,44.13767816
3.1,79,840,860,2.3080259202,2.1456688176,54.869121652,49.162305763
3.1,82,800,840,2.4424361346,2.2891723932,60.432005349,54.663520381
3.1,85,760,800,2.4393903534,2.2853419974,60.737075292,55.723222549
3.1,91,660,760,2.5884145056,2.360790663,69.096811788,59.611046982
3.1,97,600,660,2.8622866272,2.5366134486,82.063298956,68.228396595
3.15,73,660,NA,1.7866734732,NA,40.470925809,NA
3.15,76,620,660,1.8800677434,1.7387664294,44.613638886,39.602237717
3.15,79,640,620,2.0294610336,1.8800677434,50.127578085,44.613638886
3.15,82,620,640,2.1818404146,2.0230992936,56.522153898,50.082883151
3.15,85,580,620,2.2238938722,2.0889645084,59.868806106,54.396954667
3.15,91,500,580,2.3957888724,2.1756318276,69.548969505,59.216361049
3.15,97,400,500,2.6015126214,2.2937575584,78.949303855,67.845116818
4.1,73,2560,NA,1.5304689246,NA,21.104734094,NA
4.1,76,2480,2560,1.7296699266,1.5194654706,25.406227834,21.045609702
4.1,79,2540,2480,1.9428761814,1.7272940916,30.168254943,25.39483072
4.1,82,2260,2540,2.1092757378,1.8903172134,34.380907114,29.799437867
4.1,85,1900,2260,2.2083107508,2.0288554902,38.278232758,33.767623424
4.1,91,1260,1900,2.2495418946,1.9574241456,44.285796267,35.603852518
4.1,97,1180,1260,2.5977112854,2.2038920904,54.537994991,43.578849946
4.17,73,2100,NA,1.4309587446,NA,19.053265623,NA
4.17,76,2000,2100,1.5707128206,1.410523422,22.031891154,18.905284964
4.17,79,1960,2000,1.7092487412,1.5534670074,25.277598102,21.888684645
4.17,82,1880,1960,1.8544228626,1.6948515738,28.242859966,25.180500366
4.17,85,1620,1880,1.8537254274,1.7523939048,29.598360392,27.136248684
4.17,91,980,1620,1.6960233906,1.4895487992,30.952162806,25.138639793
4.17,97,940,980,1.9277533044,1.6555242396,38.434521235,30.390419044
5.1,73,1900,NA,1.8386669532,NA,24.796019648,NA
5.1,76,1860,1900,2.072572425,1.8283460118,30.077564726,24.721479857
5.1,79,1620,1860,2.1084738444,1.9273967328,32.837516031,28.532223485
